id,study,study_dum,cond,targ.gend,targ.gend.dum,day,day.dum,warmth,competence,ideal,feminine,masculine,earner
18,2,0,1,mother,0,tuesday,0,8.5,7.333333333,6,9,1,2
33,2,0,1,mother,0,tuesday,0,6.5,5.75,5,8,1,1
38,2,0,1,mother,0,tuesday,0,8.125,7.25,5,9,2,1
48,2,0,1,mother,0,tuesday,0,7.375,6.166666667,2,7,2,2
63,2,0,1,mother,0,tuesday,0,8.125,5.166666667,3,6,1,2
75,2,0,1,mother,0,tuesday,0,6.625,4.583333333,3,9,1,1
104,2,0,1,mother,0,tuesday,0,7.5,7.083333333,6,8,4,6
154,2,0,1,mother,0,tuesday,0,6.5,5.666666667,4,4,4,5
159,2,0,1,mother,0,tuesday,0,7,7.083333333,4,7,1,4
162,2,0,1,mother,0,tuesday,0,8.625,6.833333333,7,9,1,2
173,2,0,1,mother,0,tuesday,0,6.375,6.25,6,7,5,5
187,2,0,1,mother,0,tuesday,0,8,6.5,5,8,3,4
193,2,0,1,mother,0,tuesday,0,8.375,7.833333333,6,9,3,5
195,2,0,1,mother,0,tuesday,0,8,7,5,9,1,5
201,2,0,1,mother,0,tuesday,0,7.625,6.333333333,6,8,2,2
206,2,0,1,mother,0,tuesday,0,7.125,5.833333333,4,7,3,4
209,2,0,1,mother,0,tuesday,0,6.625,5.833333333,5,7,2,3
211,2,0,1,mother,0,tuesday,0,6.625,5.083333333,2,5,4,5
218,2,0,1,mother,0,tuesday,0,7.375,6.416666667,4,5,2,4
222,2,0,1,mother,0,tuesday,0,7.25,5.5,7,9,1,5
225,2,0,1,mother,0,tuesday,0,7.125,6.666666667,5,6,1,8
231,2,0,1,mother,0,tuesday,0,8.25,4.333333333,4,9,3,1
232,2,0,1,mother,0,tuesday,0,6.875,6,6,7,2,3
247,2,0,1,mother,0,tuesday,0,8.125,6.333333333,5,9,9,7
253,2,0,1,mother,0,tuesday,0,8.5,7.333333333,4,8,3,5
257,2,0,1,mother,0,tuesday,0,7.125,6.583333333,4,6,3,3
268,2,0,1,mother,0,tuesday,0,8.625,7.75,6,8,2,3
275,2,0,1,mother,0,tuesday,0,5.5,6.583333333,5,7,5,4
284,2,0,1,mother,0,tuesday,0,8.375,7,7,8,1,6
422,2,0,1,mother,0,tuesday,0,6.875,5.416666667,5,7,4,4
445,2,0,1,mother,0,tuesday,0,5,2.333333333,1,5,5,1
455,2,0,1,mother,0,tuesday,0,7,4.083333333,2,7,3,3
476,2,0,1,mother,0,tuesday,0,6.75,7.083333333,5,8,2,2
