ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
1,4,Saturday,0,8,17,5,2,1,3,6,10,11,18,14,4,16,12,9,15,7,13,7,1,1,1,1,1,1,7,7,1,1,GA,Pembroke,26,2,,1,,5,,61077d5108965addf35b519e
2,4,Tuesday,1,17,18,16,1,3,2,6,4,8,15,14,5,13,9,12,11,10,7,7,3,2,2,2,2,3,7,7,5,2,PA,Philadelphia,21,1,,1,,3,,61003c2003503aa8e90b6a31
3,4,Tuesday,1,17,16,5,3,2,1,12,6,14,8,13,4,10,15,18,11,9,7,7,2,2,2,2,2,2,4,7,2,2,VA,Virginia Beach,25,2,,1,,6,,60fe1e2e185eb1dfc03e422e
4,4,Saturday,0,1,3,2,5,4,6,9,13,18,8,10,17,16,11,7,14,12,15,2,7,4,7,7,7,6,7,6,3,3,WI,Appleton,45,1,,"2,3",,3,,5e5165d2f1ecb418da9c2db7
5,4,Saturday,0,9,8,5,1,4,2,3,14,17,12,11,6,15,13,7,10,16,18,6,2,2,2,3,1,5,6,6,3,4,CALIFORNIA,SAN JOSE,39,2,,"1,2",,4,,5beb6415feaa4a000164e011
6,4,Tuesday,1,12,8,4,5,3,2,6,18,14,13,9,1,11,7,15,10,16,17,7,1,4,1,1,1,1,7,7,1,1,NY,Buffalo,33,1,,1,,3,,6337c2c21e350de4df1661bf
7,4,Saturday,0,17,18,8,1,2,3,9,16,10,13,14,4,15,12,7,11,6,5,7,1,1,1,1,1,1,4,7,1,1,MA,Lowell,23,1,,1,,5,"For some clarification on how I answered the question of how men and women (assuming heterosexual parents) should contribute to household income--ultimately, the gender of the breadwinner(s) isn't relevant. In this day and age, it might not be financially feasible for just one parent to have a significant job, so the question becomes a moot point. However, if one parent must stay at home with children, or one parent happens to make less money for whatever reason, it does not matter to me what the gender of the parent is. This is why I gave a neutral response: it might be the best option for one parent to not contribute as much to finances for reasons that aren't gendered.",60c15eb37d3334f63a66dcd4
8,2,Saturday,0,18,12,2,4,1,3,6,8,7,13,15,5,9,11,17,14,10,16,5,2,1,2,1,1,1,6,7,1,3,or,Eugene,19,2,,"1,4",,3,,60fda99552159c0689423ae4
9,4,Saturday,0,18,15,17,1,2,3,4,12,8,5,6,9,14,11,16,7,13,10,7,1,4,1,1,4,4,7,7,4,4,Illinois,Alton,29,1,,1,,3,,5d812a70a723e0001a683dac
10,4,Tuesday,1,16,17,18,3,6,2,1,9,10,13,8,4,11,5,15,14,12,7,7,1,1,1,1,2,4,4,7,1,2,AR,Little Rock,33,2,,1,,8,,60fe0e3c62944add47d0688a
