ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
1,4,Fathers,1,1,10,16,7,9,14,2,12,17,13,15,3,4,6,8,11,18,5,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,60e4bc1f82661f365075b0f4
2,1,Fathers,1,1,2,7,12,9,10,18,11,16,3,5,15,6,14,8,4,13,17,4,6,3,6,6,4,7,4,5,5,4,tx,denton,36,2,,1,,5,,5dcebf4ad2c3e0000ab3debe
3,4,Mothers,0,18,17,10,1,4,6,7,2,3,16,13,5,14,8,9,15,12,11,4,5,3,5,3,2,5,4,6,4,4,TX,Lubbock,31,2,,1,,5,,6127c6162228b9657b189855
4,4,Mothers,0,15,13,17,5,12,7,4,3,1,11,16,2,18,6,10,14,9,8,6,2,2,2,2,4,5,7,6,4,5,CA,San Marcos,19,1,,1,,3,,5df85a74946e975e7f13abbf
5,4,Fathers,1,2,1,3,18,17,15,16,11,12,4,5,14,7,13,6,8,9,10,7,1,1,1,1,1,7,6,7,4,2,NY,Ithaca,21,2,,1,,2,,60fccc84440f8e8c82ca0288
6,4,Fathers,1,8,1,4,15,12,11,18,14,9,2,3,13,5,16,6,7,17,10,3,5,3,5,5,6,6,3,5,6,6,IN,MADISON,71,1,,1,,3,,5fcaf3c4c45d0c805ca9781b
7,4,Mothers,0,14,12,10,9,1,8,13,3,4,16,17,2,18,15,11,6,7,5,7,3,4,4,4,4,4,4,6,4,4,PA,CABOT,37,2,,1,,3,,5ac54b229534ba0001c745f1
8,4,Mothers,0,18,17,13,1,2,5,9,4,3,14,15,8,16,6,10,12,11,7,7,1,1,1,1,1,3,5,7,1,1,MN,Cambridge,37,2,,1,,5,,5e209b79ba8348000bb5b487
9,2,Mothers,0,16,11,8,1,2,9,7,3,4,18,15,6,14,5,17,12,13,10,6,1,1,1,1,2,6,6,7,1,1,Calfiornia,San Diego,21,2,,4,,4,,61002a89bad4666aa74f748a
10,4,Fathers,1,1,2,3,11,10,15,14,16,18,4,6,13,5,12,9,7,8,17,2,3,2,3,5,5,7,7,7,5,5,Hawaii,Honolulu,26,1,,4,,5,,62efb321be8874ebf8bf02b3
